Id	Content	
10620008	{0}小时研究加速	
10620009	{0}天研究加速	
10620010	{0}分钟训练加速	
10620011	{0}小时训练加速	
10620012	{0}天训练加速	
10620013	{0}分钟治疗加速	
10620014	{0}小时治疗加速	
10620015	{0}天治疗加速	
10620021	使用后加速{0}分钟	
10620022	使用后加速{0}小时	
10620023	使用后加速{0}天	
10620024	使用后建造加速{0}分钟	
10620025	使用后建造加速{0}小时	
10620026	使用后建造加速{0}天	
10620027	使用后研究加速{0}分钟	
10620028	使用后研究加速{0}小时	
10620029	使用后研究加速{0}天	
10620030	使用后训练加速{0}分钟	
10620031	使用后训练加速{0}小时	
10620032	使用后训练加速{0}天	
10620033	使用后治疗加速{0}分钟	
10620034	使用后治疗加速{0}小时	
10620035	使用后治疗加速{0}天	
10650001	一级经验书	
10650002	二级经验书	
10650003	三级经验书	
10650004	四级经验书	
10650005	五级经验书	
10650006	使用后获得100经验	
10650007	使用后获得1000经验	
10650008	使用后获得5000经验	
10650009	使用后获得10000经验	
10650010	使用后获得20000经验	
10660201	阿尔佛雷德碎片	
10660202	布狄卡碎片	
10660203	汉尼拔碎片	
10660204	贞德碎片	
10660205	拿破仑碎片	
10660206	亚历山大碎片	
10660207	克伦威尔碎片	
10660208	南丁格尔碎片	
10660209	兰斯洛特碎片	
10660210	古斯塔夫碎片	
10660211	俾斯麦碎片	
10660212	凯撒碎片	
10660213	林肯碎片	
10660301	传说同名卡	
10660302	史诗同名卡	
10660303	精英同名卡	
10660401	用于提升英雄的星级和解锁技能。	
10660402	用于兑换已拥有英雄的碎片。	
10670001	重炮升级道具	
10670002	加农炮升级道具	
10670003	机枪塔升级道具	
10670004	用于对重炮进行升级	
10670005	用于对加农炮进行升级	
10670006	用于对机枪塔进行升级	
10670007	哨戒炮升级道具	
10670008	用于对哨戒炮进行升级	
10680001	白银钥匙	
10680002	黄金钥匙	
10680003	可在酒馆中用于开启一个普通宝箱。	
10680004	可在酒馆中用于开启一个高级宝箱。	
10690001	蓝色技能书	
10690002	紫色技能书	
10690003	橙色技能书	
10690004	用来升级蓝色英雄技能	
10690005	用来升级紫色英雄技能	
10690006	用来升级橙色英雄技能	
99600001	粮食	
99600002	木材	
99600003	黑铁	
99600004	秘银	
99600005	金币	
99600006	金币	
99600007	{0:N0}粮食	
99600008	{0:N0}木材	
99600009	{0:N0}黑铁	
99600010	{0:N0}秘银	
99600011	{0:N0}金币	
99600012	{0:N0}金币	
10710000	爆破	
10710010	蒸汽锯	
10710020	温室	
10710030	伐木机	
10710040	收割机	
10710050	建筑工程	
10710060	勘探	
10710070	竖井	
10710080	螺旋钻	
10710090	神学	
10710100	碎石机	
10710110	挖掘机	
10710120	集装箱	
10710130	高级工程	
10710140	压木机床	
10710150	有机化肥	
10710160	资源保护	
10710170	高级神学	
10710180	炼铁炉	
10710190	提纯器	
10710200	高级收割机	
10710210	高级伐木机	
10710220	高级碎石机	
10710230	高级挖掘机	
10710240	高级集装箱	
10710001	解锁黑铁采集	
10710011	提高木材产量	
10710021	提高粮食产量	
10710031	提高木材采集速度	
10710041	提高粮食采集速度	
10710051	提高玩家建造速度	
10710061	解锁秘银采集	
10710071	提高黑铁产量	
10710081	提高秘银产量	
10710091	提高玩家科技研究速度	
10710101	提高黑铁采集速度	
10710111	提高秘银采集速度	
10710121	提高部队负载	
10710131	提高玩家建造速度	
10710141	提高木材产量	
10710151	提高粮食产量	
10710161	增加仓库资源保护量	
10710171	提高玩家科技研究速度	
10710181	提高黑铁产量	
10710191	提高秘银产量	
10710201	提高木材采集速度	
10710211	提高粮食采集速度	
10710221	提高黑铁采集速度	
10710231	提高秘银采集速度	
10710241	增加部队负载	
10710002	解锁黑铁采集	
10710012	木材产量	
10710022	粮食产量	
10710032	木材采集速度	
10710042	粮食采集速度	
10710052	建造速度	
10710062	解锁秘银采集	
10710072	黑铁产量	
10710082	秘银产量	
10710092	科技研究速度	
10710102	黑铁采集速度	
10710112	秘银采集速度	
10710122	部队负载	
10710132	建造速度	
10710142	木材产量	
10710152	粮食产量	
10710162	资源保护量	
10710172	研究速度	
10710182	黑铁产量	
10710192	秘银产量	
10710202	木材采集速度	
10710212	粮食采集速度	
10710222	黑铁采集速度	
10710232	秘银采集速度	
10710242	部队负载	
10711000	军事化	
10711010	格斗	
10711020	射击	
10711030	火力	
10711040	投掷	
10711050	行军	
10711060	重剑步兵	
10711070	步枪兵	
10711080	游击机枪手	
10711090	火药弹兵	
10711100	侦察	
10711110	鳞甲	
10711120	纤维材料	
10711130	防弹衣	
10711140	弹力材料	
10711150	战斧步兵	
10711160	霰弹兵	
10711170	突袭机枪手	
10711180	破甲弹兵	
10711190	高级行军	
10711200	野营	
10711210	隐蔽	
10711220	冲锋	
10711230	负重	
10711240	演习	
10711250	阵法	
10711260	营养学	
10711270	高级侦察	
10711280	巨斧步兵	
10711290	狙击兵	
10711300	重机枪手	
10711310	雷爆弹兵	
10711320	高级格斗	
10711330	高级射击	
10711340	高级火力	
10711350	高级投掷	
10711360	高级鳞甲	
10711370	高级纤维	
10711380	高级防弹	
10711390	高级弹力	
10711400	高级演习	
10711410	高级阵法	
10711420	高级营养学	
10711430	战锤步兵	
10711440	冲锋兵	
10711450	能斯机枪手	
10711460	能斯弹兵	
10711001	提高部队训练速度	
10711011	提高近战士兵攻击力	
10711021	提高中程士兵攻击力	
10711031	提高远程士兵攻击力	
10711041	提高采集士兵攻击力	
10711051	提高部队行军速度	
10711061	解锁2级近战士兵训练	
10711071	解锁2级中程士兵训练	
10711081	解锁2级远程士兵训练	
10711091	解锁2级采集士兵训练	
10711101	提高玩家侦察能力	
10711111	提高近战士兵防御力	
10711121	提高中程士兵防御力	
10711131	提高远程士兵防御力	
10711141	提高采集士兵防御力	
10711151	解锁3级近战士兵训练	
10711161	解锁3级中程士兵训练	
10711171	解锁3级远程士兵训练	
10711181	解锁3级采集士兵训练	
10711191	提高部队行军速度	
10711201	提高近战士兵生命值	
10711211	提高中程士兵生命值	
10711221	提高远程士兵生命值	
10711231	提高采集士兵生命值	
10711241	提高所有士兵攻击力	
10711251	提高所有士兵防御力	
10711261	提高所有士兵生命值	
10711271	提高玩家侦察能力	
10711281	解锁4级近战士兵训练	
10711291	解锁4级中程士兵训练	
10711301	解锁4级远程士兵训练	
10711311	解锁4级采集士兵训练	
10711321	提高近战士兵攻击力	
10711331	提高中程士兵攻击力	
10711341	提高远程士兵攻击力	
10711351	提高采集士兵攻击力	
10711361	提高近战士兵防御力	
10711371	提高中程士兵防御力	
10711381	提高远程士兵防御力	
10711391	提高采集士兵防御力	
10711401	提高所有士兵攻击力	
10711411	提高所有士兵防御力	
10711421	提高所有士兵生命值	
10711431	解锁5级近战士兵训练	
10711441	解锁5级中程士兵训练	
10711451	解锁5级远程士兵训练	
10711461	解锁5级采集士兵训练	
10711002	训练速度	
10711012	攻击力	
10711022	攻击力	
10711032	攻击力	
10711042	攻击力	
10711052	行军速度	
10711062	解锁2级近战士兵	
10711072	解锁2级中程士兵	
10711082	解锁2级远程士兵	
10711092	解锁2级采集单位	
10711102	侦察能力	
10711112	防御力	
10711122	防御力	
10711132	防御力	
10711142	防御力	
10711152	解锁3级近战士兵	
10711162	解锁3级中程士兵	
10711172	解锁3级远程士兵	
10711182	解锁3级采集单位	
10711192	行军速度	
10711202	生命值	
10711212	生命值	
10711222	生命值	
10711232	生命值	
10711242	攻击力	
10711252	防御力	
10711262	生命值	
10711272	侦察能力	
10711282	解锁4级近战士兵	
10711292	解锁4级中程士兵	
10711302	解锁4级远程士兵	
10711312	解锁4级采集单位	
10711322	攻击力	
10711332	攻击力	
10711342	攻击力	
10711352	攻击力	
10711362	防御力	
10711372	防御力	
10711382	防御力	
10711392	防御力	
10711402	攻击力	
10711412	防御力	
10711422	生命值	
10711432	解锁5级近战士兵	
10711442	解锁5级中程士兵	
10711452	解锁5级远程士兵	
10711462	解锁5级采集单位	
10110110	剑步兵	
10110111	手持简易长剑和木制盾牌的步兵，不需要消耗太多资源和时间训练就能投入战斗	
10110120	重剑步兵	
10110121	手持军用武器的同时，装备了半身甲，具有一定的作战能力	
10110130	战斧步兵	
10110131	手持战斧和金属盾牌，同时装备了全身铠甲，是战斗中的中流砥柱	
10110140	巨斧步兵	
10110141	手持合金战斧，装备了全身重铠，将同时兼具高杀伤和高防御	
10110150	战锤步兵	
10110151	手持战锤，消耗大量时间和资源才能训练而出，将在战场中所向披靡	
10110210	轻骑兵	
10110211	是骑兵的原始形态，迅猛骁勇，在集群作战时能发挥巨大作用	
10110220	龙马骑兵	
10110221	拥有精良成套的武器盔甲和马匹，能够适应各种战术，在部队中充当着主力	
10110230	冲击骑兵	
10110231	全身上下都被坚固的铠甲所覆盖，几乎无法阻挡的冲锋将摧毁任何平原地带的敌人	
10110240	重甲骑兵	
10110241	自幼经过了良好的训练，除了非凡的战斗能力，还是战略战术执行的领袖	
10110250	熊骑兵	
10110251	有着不可质疑的实力和荣誉，拥有他们，您将拥有全世界	
10110310	火枪兵	
10110311	手持简易火枪，是最原始的热兵器部队，集群作战时有一定的作战能力	
10110320	步枪兵	
10110321	手中经过的改造的火枪将有更高的稳定性和更高的伤害，最主要的是无需经过长时间训练即可使用	
10110330	霰弹兵	
10110331	手持双管火枪的他们，将有更高的伤害和打击范围，将是战场中轻甲单位的天敌。	
10110340	狙击兵	
10110341	手中的火枪已经是现代步枪的雏形，能够从远距离精确的对敌人造成大量伤害	
10110350	冲锋兵	
10110351	手中的火枪在现代步枪的基础上融合了外星黑科技，能够向射程内的敌人倾泻大量火力	
10110410	机枪兵	
10110411	手持简易机枪的士兵	
10110420	游击机枪手	
10110421	手持轻机枪，在拥有输出能力的同时有一定的移动能力	
10110430	突袭机枪手	
10110431	手持机枪和铠甲，拥有不俗的突进能力	
10110440	重机枪手	
10110441	装备了重型铠甲的机枪手，能够在战场中持续输出火力	
10110450	能斯机枪手	
10110451	装备外星科技机枪的机枪手，能够在短时间内撕碎大量敌人	
10110510	 燃烧弹兵	
10110511	手持简易燃烧瓶，拿来取火或许不错	
10110520	火药弹兵	
10110521	装备了火药武器，算是热武器部队，有初步的作战能力	
10110530	破甲弹兵	
10110531	在爆炸物中加入了钢珠，能够击碎敌方的铠甲	
10110540	雷爆弹兵	
10110541	爆炸物的威力更高，能够造成更高的伤害	
10110550	能斯弹兵	
10110551	能够投掷外星黑科技炸弹，瞬间毁灭大量敌人	
10210001	牛头人步兵	
10210002	牛头人机枪兵	
99410001	攻击力	
99410002	对敌方单位造成伤害的能力	
99410003	攻城值	
99410004	对建筑造成伤害的能力	
99410005	防御力	
99410006	减少受到伤害的能力	
99410007	生命值	
99410008	承受伤害的能力	
99410009	攻击范围	
99410010	可以攻击的范围	
99410011	攻击速度	
99410012	进行普通攻击的速度	
99410013	移动速度	
99410014	战斗时移动的速度	
99410015	负载	
99410016	可携带资源的上限	
99410017	战争	
99410018	能够提高麾下士兵的攻击力<br>当前生效：<color=#48d73e>提高士兵{0}%攻击力</color>	
99410019	守备	
99410020	能够提高麾下士兵的防御力<br>当前生效：<color=#48d73e>提高士兵{0}%防御力</color>	
99410021	统帅	
99410022	能够提高麾下士兵的生命值<br>当前生效：<color=#48d73e>提高士兵{0}%生命值</color>	
99410023	带兵上限	
99410024	英雄带领士兵的能力	
10200000	阿尔弗雷德	
10200010	布狄卡	
10200020	汉尼拔	
10200030	贞德	
10200040	拿破仑	
10200050	亚历山大	
10200060	克伦威尔	
10200070	南丁格尔	
10200080	兰斯洛特	
10200090	古斯塔夫	
10200100	俾斯麦	
10200110	凯撒	
10200120	林肯	
10300000	牛角	
material_1	白色材料1	
material_2	绿色材料1	
material_3	蓝色材料1	
material_4	紫色材料1	
material_5	橙色材料1	
material_6	白色材料2	
material_7	绿色材料2	
material_8	蓝色材料2	
material_9	紫色材料2	
material_10	橙色材料2	
material_11	白色材料3	
material_12	绿色材料3	
material_13	蓝色材料3	
material_14	紫色材料3	
material_15	橙色材料3	
material_16	白色材料4	
material_17	绿色材料4	
material_18	蓝色材料4	
material_19	紫色材料4	
material_20	橙色材料4	
material_21	白色材料1说明	
material_22	绿色材料1说明	
material_23	蓝色材料1说明	
material_24	紫色材料1说明	
material_25	橙色材料1说明	
material_26	白色材料2说明	
material_27	绿色材料2说明	
material_28	蓝色材料2说明	
material_29	紫色材料2说明	
material_30	橙色材料2说明	
material_31	白色材料3说明	
material_32	绿色材料3说明	
material_33	蓝色材料3说明	
material_34	紫色材料3说明	
material_35	橙色材料3说明	
material_36	白色材料4说明	
material_37	绿色材料4说明	
material_38	蓝色材料4说明	
material_39	紫色材料4说明	
material_40	橙色材料4说明	
name1	头盔1	
name2	头盔2	
name3	头盔3	
name4	头盔4	
name5	头盔5	
name6	衣服1	
name7	衣服2	
name8	衣服3	
name9	衣服4	
name10	衣服5	
name11	鞋子1	
name12	鞋子2	
name13	鞋子3	
name14	鞋子4	
name15	鞋子5	
name16	裤子1	
name17	裤子2	
name18	裤子3	
name19	裤子4	
name20	裤子5	
name21	戒指1	
name22	戒指2	
name23	戒指3	
name24	戒指4	
name25	戒指5	
name26	项链1	
name27	项链2	
name28	项链3	
name29	项链4	
name30	项链5	
des1	头盔1描述	
des2	头盔2描述	
des3	头盔3描述	
des4	头盔4描述	
des5	头盔5描述	
des6	衣服1描述	
des7	衣服2描述	
des8	衣服3描述	
des9	衣服4描述	
des10	衣服5描述	
des11	鞋子1描述	
des12	鞋子2描述	
des13	鞋子3描述	
des14	鞋子4描述	
des15	鞋子5描述	
des16	裤子1描述	
des17	裤子2描述	
des18	裤子3描述	
des19	裤子4描述	
des20	裤子5描述	
des21	戒指1描述	
des22	戒指2描述	
des23	戒指3描述	
des24	戒指4描述	
des25	戒指5描述	
des26	项链1描述	
des27	项链2描述	
des28	项链3描述	
des29	项链4描述	
des30	项链5描述	
suit1	套装1	
suit2	套装2	
suit3	套装3	
suit4	套装4	
suit5	套装5	
tuzhi_1	头盔1图纸	
tuzhi_2	头盔2图纸	
tuzhi_3	头盔3图纸	
tuzhi_4	头盔4图纸	
tuzhi_5	头盔5图纸	
tuzhi_6	衣服1图纸	
tuzhi_7	衣服2图纸	
tuzhi_8	衣服3图纸	
tuzhi_9	衣服4图纸	
tuzhi_10	衣服5图纸	
tuzhi_11	鞋子1图纸	
tuzhi_12	鞋子2图纸	
tuzhi_13	鞋子3图纸	
tuzhi_14	鞋子4图纸	
tuzhi_15	鞋子5图纸	
tuzhi_16	裤子1图纸	
tuzhi_17	裤子2图纸	
tuzhi_18	裤子3图纸	
tuzhi_19	裤子4图纸	
tuzhi_20	裤子5图纸	
tuzhi_21	戒指1图纸	
tuzhi_22	戒指2图纸	
tuzhi_23	戒指3图纸	
tuzhi_24	戒指4图纸	
tuzhi_25	戒指5图纸	
tuzhi_26	项链1图纸	
tuzhi_27	项链2图纸	
tuzhi_28	项链3图纸	
tuzhi_29	项链4图纸	
tuzhi_30	项链5图纸	
tuzhi_31	头盔1图纸描述	
tuzhi_32	头盔2图纸描述	
tuzhi_33	头盔3图纸描述	
tuzhi_34	头盔4图纸描述	
tuzhi_35	头盔5图纸描述	
tuzhi_36	衣服1图纸描述	
tuzhi_37	衣服2图纸描述	
tuzhi_38	衣服3图纸描述	
tuzhi_39	衣服4图纸描述	
tuzhi_40	衣服5图纸描述	
tuzhi_41	鞋子1图纸描述	
tuzhi_42	鞋子2图纸描述	
tuzhi_43	鞋子3图纸描述	
tuzhi_44	鞋子4图纸描述	
tuzhi_45	鞋子5图纸描述	
tuzhi_46	裤子1图纸描述	
tuzhi_47	裤子2图纸描述	
tuzhi_48	裤子3图纸描述	
tuzhi_49	裤子4图纸描述	
tuzhi_50	裤子5图纸描述	
tuzhi_51	戒指1图纸描述	
tuzhi_52	戒指2图纸描述	
tuzhi_53	戒指3图纸描述	
tuzhi_54	戒指4图纸描述	
tuzhi_55	戒指5图纸描述	
tuzhi_56	项链1图纸描述	
tuzhi_57	项链2图纸描述	
tuzhi_58	项链3图纸描述	
tuzhi_59	项链4图纸描述	
tuzhi_60	项链5图纸描述	
suipian_1	头盔1图纸碎片	
suipian_2	头盔2图纸碎片	
suipian_3	头盔3图纸碎片	
suipian_4	头盔4图纸碎片	
suipian_5	头盔5图纸碎片	
suipian_6	衣服1图纸碎片	
suipian_7	衣服2图纸碎片	
suipian_8	衣服3图纸碎片	
suipian_9	衣服4图纸碎片	
suipian_10	衣服5图纸碎片	
suipian_11	鞋子1图纸碎片	
suipian_12	鞋子2图纸碎片	
suipian_13	鞋子3图纸碎片	
suipian_14	鞋子4图纸碎片	
suipian_15	鞋子5图纸碎片	
suipian_16	裤子1图纸碎片	
suipian_17	裤子2图纸碎片	
suipian_18	裤子3图纸碎片	
suipian_19	裤子4图纸碎片	
suipian_20	裤子5图纸碎片	
suipian_21	戒指1图纸碎片	
suipian_22	戒指2图纸碎片	
suipian_23	戒指3图纸碎片	
suipian_24	戒指4图纸碎片	
suipian_25	戒指5图纸碎片	
suipian_26	项链1图纸碎片	
suipian_27	项链2图纸碎片	
suipian_28	项链3图纸碎片	
suipian_29	项链4图纸碎片	
suipian_30	项链5图纸碎片	
suipian_31	头盔1图纸碎片描述	
suipian_32	头盔2图纸碎片描述	
suipian_33	头盔3图纸碎片描述	
suipian_34	头盔4图纸碎片描述	
suipian_35	头盔5图纸碎片描述	
suipian_36	衣服1图纸碎片描述	
suipian_37	衣服2图纸碎片描述	
suipian_38	衣服3图纸碎片描述	
suipian_39	衣服4图纸碎片描述	
suipian_40	衣服5图纸碎片描述	
suipian_41	鞋子1图纸碎片描述	
suipian_42	鞋子2图纸碎片描述	
suipian_43	鞋子3图纸碎片描述	
suipian_44	鞋子4图纸碎片描述	
suipian_45	鞋子5图纸碎片描述	
suipian_46	裤子1图纸碎片描述	
suipian_47	裤子2图纸碎片描述	
suipian_48	裤子3图纸碎片描述	
suipian_49	裤子4图纸碎片描述	
suipian_50	裤子5图纸碎片描述	
suipian_51	戒指1图纸碎片描述	
suipian_52	戒指2图纸碎片描述	
suipian_53	戒指3图纸碎片描述	
suipian_54	戒指4图纸碎片描述	
suipian_55	戒指5图纸碎片描述	
suipian_56	项链1图纸碎片描述	
suipian_57	项链2图纸碎片描述	
suipian_58	项链3图纸碎片描述	
suipian_59	项链4图纸碎片描述	
suipian_60	项链5图纸碎片描述	
suit1	套装1	
suit2	套装2	
suit3	套装3	
suit4	套装4	
suit5	套装5	
part1	头盔	
part2	衣服	
part3	鞋子	
part4	裤子	
part5	戒指	
part6	项链	
hero_skill_20110	撼地之剑	
hero_skill_20111	将宝剑插入地下，造成攻击力{0}伤害和{1}减速效果	
hero_skill_20120	迎头痛击	
hero_skill_20121	每三次攻击造成碎甲效果，降低敌人{0}防御力	
hero_skill_20130	钢铁之师	
hero_skill_20131	提升所带领步兵的{0}防御力和{1}生命值	
hero_skill_20140	保家卫国	
hero_skill_20141	非主城战斗，受到攻击时提高自身{0}攻击力	
hero_skill_20210	凯尔特女王	
hero_skill_20211	对前方扇形区域敌人造成攻击力{0}伤害和震慑效果，降低敌人{1}攻击力	
hero_skill_20220	凯尔特之怒	
hero_skill_20221	将凯尔特女王造成的震慑效果时间延长{0}	
hero_skill_20230	反抗者	
hero_skill_20231	城战时，提高士兵{0}防御力	
hero_skill_20240	血发	
hero_skill_20241	提高{0}攻击时获得的怒气值	
hero_skill_20310	巨象践踏	
hero_skill_20311	对前方敌人造成攻击力{0}伤害，对处于震慑状态的敌人造成额外{1}伤害	
hero_skill_20320	势不可挡	
hero_skill_20321	提高{0}受击获得的怒气值，并使普攻有{1}概率造成震慑效果	
hero_skill_20330	持久战	
hero_skill_20331	将掷弹兵燃烧时间延长{0}	
hero_skill_20340	以少胜多	
hero_skill_20341	每受到一个单位攻击就降低{0}受到的伤害	
hero_skill_20410	天使庇护	
hero_skill_20411	恢复友军{0}单位轻伤士兵，并提高其{1}防御力	
hero_skill_20420	坚不可摧	
hero_skill_20421	城战时，提高天使庇护{0}效果	
hero_skill_20430	圣战	
hero_skill_20431	提高队伍中士兵{0}攻击力	
hero_skill_20440	鼓舞士气	
hero_skill_20441	持续恢复队伍中英雄血量，每秒{0}点	
hero_skill_20510	并吞八荒	
hero_skill_20511	对前方扇形区域敌人造成{0}伤害和碎甲效果，降低敌人{1}防御力	
hero_skill_20520	鹰扬虎视	
hero_skill_20521	攻击有碎甲状态敌人时，造成{0}额外伤害	
hero_skill_20530	铁甲雄兵	
hero_skill_20531	提高步兵{0}攻击力和{1}防御力	
hero_skill_20540	攻城略地	
hero_skill_20541	城战时，提高自身{0}伤害	
soldier_skill_10101	掷弹兵克制	
soldier_skill_10102	盾牌	
soldier_skill_10103	铠甲	
soldier_skill_10104	克制掷弹兵，提高对掷弹兵{0}伤害，降低来自掷弹兵{1}伤害	
soldier_skill_10105	降低{0}受到伤害	
soldier_skill_10106	受到范围伤害时，提高{0}防御力，持续5s，冷却20s	
soldier_skill_10201	火枪兵克制	
soldier_skill_10202	战马	
soldier_skill_10203	连击	
soldier_skill_10204	克制火枪兵，提高对火枪兵{0}伤害，降低来自火枪兵{1}伤害	
soldier_skill_10205	移动中减少{0}伤害	
soldier_skill_10206	攻击后增加自身{0}攻击力持续5秒，冷却20秒	
soldier_skill_10301	步兵克制	
soldier_skill_10302	暴击	
soldier_skill_10303	击退	
soldier_skill_10304	克制步兵，提高对步兵{0}伤害，降低来自步兵{1}伤害	
soldier_skill_10305	攻击时有{0}概率暴击造成1.5倍伤害	
soldier_skill_10306	降低击中敌人{0}移动速度	
soldier_skill_10401	骑兵克制	
soldier_skill_10402	连发	
soldier_skill_10403	坚韧	
soldier_skill_10404	克制骑兵，提高对骑兵{0}伤害，降低来自骑兵{1}伤害	
soldier_skill_10405	攻击时提高{0}攻速，持续5秒，冷却10秒	
soldier_skill_10406	被击时提高自身{0}防御力和攻击力，持续5秒，冷却20秒	
soldier_skill_10501	机枪兵克制	
soldier_skill_10502	燃烧	
soldier_skill_10503	群伤	
soldier_skill_10504	克制机枪兵，提高对机枪兵10%伤害，降低来自机枪兵10%伤害	
soldier_skill_10505	对敌人造成攻击力5%的燃烧效果，持续3秒	
soldier_skill_10506	攻击目标每降低一个，伤害增加5%，最多增加25%	
zhupao_1	主炮技能	
zhupao_2	{0}级解锁	
zhupao_3	攻击	
zhupao_4	防御	
zhupao_5	辅助	
zhupao_6	已装备	
zhupao_7	空	
zhupao_8	替换	
zhupao_9	移除	
zhupao_10	{0}级	
zhuchen_skill_1	高爆火箭	
zhuchen_skill_2	火炮弹幕	
zhuchen_skill_3	兴奋剂	
zhuchen_skill_4	电磁引爆	
zhuchen_skill_5	发射一发能够爆炸的火箭对敌方造成大量伤害，对敌方造成{0}伤害	
zhuchen_skill_6	发射多波火炮，对敌人造成3次伤害	
zhuchen_skill_7	提高范围内我方英雄和士兵{0}攻击速度和{1}移动速度	
zhuchen_skill_8	在指定位置引爆一场电磁风暴，对敌方造成大量伤害，对敌方英雄和士兵额外造成{0}伤害	
zhuchen_skill_9	爆破炸药	
zhuchen_skill_10	信号中断	
zhuchen_skill_11	通讯干扰	
zhuchen_skill_12	毒气弹	
zhuchen_skill_13	闪光弹	
zhuchen_skill_14	炮管维修	
zhuchen_skill_15	火炮加固	
zhuchen_skill_16	青霉素	
zhuchen_skill_17	对敌方建筑造成{0}伤害	
zhuchen_skill_18	瘫痪敌方建筑	
zhuchen_skill_19	控制敌方炮塔	
zhuchen_skill_20	降低敌方士兵防御力	
zhuchen_skill_21	降低敌方士兵攻击力	
zhuchen_skill_22	提高我方炮塔攻击力	
zhuchen_skill_23	给我方炮塔施加一个护盾	
zhuchen_skill_24	恢复我方单位血量	
301100010	主线任务1	
301100020	主线任务2	
301100030	主线任务3	
301100040	主线任务4	
301100050	主线任务5	
301100060	主线任务6	
301100070	主线任务7	
301100080	主线任务8	
301100011	总采集粮食100	
301100021	采集粮食1000	
301100031	升级三次科技	
301100041	ID为1的科技升到一级	
301100051	击杀三个ID为1的怪物	
301100061	训练一级步兵100个	
301100071	一共训练100个是吧	
301100081	大本营升级到两级	
301200010	支线任务1	
301200020	支线任务2	
301200030	支线任务3	
301200040	支线任务4	
301200050	支线任务5	
301200060	支线任务6	
301200070	支线任务7	
301200080	支线任务8	
301200090	支线任务9	
301200100	支线任务10	
301200110	支线任务11	
301200120	支线任务12	
301200130	支线任务13	
301200140	支线任务14	
301200150	支线任务15	
301200160	支线任务16	
301200011	总采集粮食100	
301200021	总采集粮食1000	
301200031	采集粮食100	
301200041	采集粮食1000	
301200051	研究一次科技	
301200061	研究三次科技	
301200071	ID为1的科技升到一级	
301200081	ID为1的科技升到三级	
301200091	击杀ID为1的怪物10个	
301200101	击杀ID为2的怪物10个	
301200111	训练一级步兵100个	
301200121	训练一级步兵500个	
301200131	共训练200个士兵	
301200141	共训练1000个士兵	
301200151	ID为6的建筑升级到2级	
301200161	ID为6的建筑升级到3级	
301300010	日常任务1	
301300020	日常任务2	
301300030	日常任务3	
301300040	日常任务4	
301300050	日常任务5	
301300060	日常任务6	
301300070	日常任务7	
301300080	日常任务8	
301300090	日常任务9	
301300100	日常任务10	
301300110	日常任务11	
301300120	日常任务12	
301300130	日常任务13	
301300140	日常任务14	
301300150	日常任务15	
301300160	日常任务16	
301300011	总采集粮食100	
301300021	采集1000单位粮食	
301300031	研究一次科技	
301300041	ID为2的科技升级到一级	
301300051	击杀ID为1 的怪物10个	
301300061	训练十个一级步兵	
301300071	共训练一百个士兵	
